Toplam listede: 257
Zaten vardı: 25
Yeni: 232
Oluşturulan klasör: 232
Oluşturulan placeholder jpg: 928

=== YENİ EKLENENLER (name -> id | categories) ===
- Mamma Mia Cafe Kaş -> mamma-mia-cafe-kas | ['cafe']
- Muhtarın Yeri -> muhtarin-yeri | ['food']
- Ai Sushi & Asian Cuisine -> ai-sushi-and-asian-cuisine | ['food']
- HOP -> hop | ['food']
- Modo Likya Beach Club & Restaurant -> modo-likya-beach-club-and-restaurant | ['beach']
- Olea Nova Restaurant -> olea-nova-restaurant | ['food']
- Sangria Kaş -> sangria-kas | ['food']
- Romeo’s Pizza Kalkan -> romeos-pizza-kalkan | ['food']
- Defne Restaurant -> defne-restaurant | ['food']
- Kokoreççi Mehmet Usta -> kokorecci-mehmet-usta | ['food']
- Sandro Pizza Burger -> sandro-pizza-burger | ['food']
- Alley Sunset Restaurant -> alley-sunset-restaurant | ['food']
- Can Mocamp & Livorno Pizza -> can-mocamp-and-livorno-pizza | ['food']
- Kaş Belediyesi Sosyal Tesisler -> kas-belediyesi-sosyal-tesisler | ['food']
- Calimera -> calimera | ['food']
- Asmalı Bahçe Kaş -> asmali-bahce-kas | ['food']
- Maya Steakhouse & Wineshop -> maya-steakhouse-and-wineshop | ['food']
- Paninaro Kaş -> paninaro-kas | ['food']
- Deniz Kızı Restaurant -> deniz-kizi-restaurant | ['food']
- Demirci Turizm -> demirci-turizm | ['food']
- Marquis Asian Restaurant -> marquis-asian-restaurant | ['food']
- Chin Dian Restaurant -> chin-dian-restaurant | ['food']
- Olivegardenkas -> olivegardenkas | ['food']
- Mc Sandwhich -> mc-sandwhich | ['food']
- Dominos Pizza -> dominos-pizza | ['food']
- Agora Restaurant & Pool Bar -> agora-restaurant-and-pool-bar | ['bar']
- Meri Garden -> meri-garden | ['food']
- Mola Caffe Oliver Garden -> mola-caffe-oliver-garden | ['food']
- Public Food & Drink -> public-food-and-drink | ['bar']
- Pilav Check Kaş -> pilav-check-kas | ['food']
- Cafe Granda -> cafe-granda | ['cafe']
- Sardelaki -> sardelaki | ['food']
- Tuluhan Gökalp -> tuluhan-gokalp | ['food']
- Karadeniz Pide Salonu -> karadeniz-pide-salonu | ['food']
- Yelken Tatlı & Künefe & Dondurma -> yelken-tatli-and-kunefe-and-dondurma | ['food']
- Bu’burger -> buburger | ['food']
- Meşhur Adıyaman Çiğ Köfteci -> meshur-adiyaman-cig-kofteci | ['food']
- Balık Adam Kokoreç Tavuk Balıkçılık -> balik-adam-kokorec-tavuk-balikcilik | ['food']
- Kippis -> kippis | ['food']
- Deja Vu -> deja-vu | ['food']
- Queen Bar -> queen-bar | ['bar']
- Biralama -> biralama | ['food']
- Deco Stop Bar -> deco-stop-bar | ['bar']
- Maaide Kahvaltı Restaurant -> maaide-kahvalti-restaurant | ['food']
- Wapiano Restaurant -> wapiano-restaurant | ['food']
- Del Mare Kaş Bistro Cafe -> del-mare-kas-bistro-cafe | ['cafe']
- Müptela Kahvaltı -> muptela-kahvalti | ['food']
- Turunç Fırın & Cafe -> turunc-firin-and-cafe | ['cafe']
- Eski Kent Bilardo -> eski-kent-bilardo | ['food']
- Mustafa -> mustafa | ['food']
